Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Electronic Magnifiers for Partially Sighted and Dyslexic Students,Visualeyes,All of UK,"Unit 2B, New Line Road,,Kirkby-in-Ashfield,Nottingham,NG17 8JQ",Nottingham,NG17 8JQ,01623 754646,sales@visualeyesuk.com,Michelle,Shaw,"Visualeyes specialise in the supply of Electronic Magnifiers for Partially Sighted and Dyslexic users. All magnifiers can increase the size of text and change the colour of the text and background to help a wide range of users.
The range includes portable pocket units, TV compatible systems, portable systems, Laptop and PC based systems, desktop systems and systems with close up and distance viewing cameras.",all,Demonstrations and advice are free,www.visualeyesuk.com,Accessibility Services,
LIFECHOICE Independent Living Scheme,LIFECHOICE ILS,S.E. England,"LIFECHOICE, Croft House, East Street,",Tonbridge,TN9 1HP,01732 225200,,Liz Oram or,Adrian Caradine,"Lifechoice supports Adults with a learning disability to live fulfilled lives. We have skilled and experienced teams of staff who work in dedicated teams in Sevenoaks, Tonbridge and Tunbridge Wells districts. We can support individuals with all aspects of their lives from personal care to budgeting for their bills, cooking skills to travel training. We can support individuals to access their local community or to attend day services or further education. We support individuals referred to us by their Care Manager.",adult,An Individual financial assessment will be caried out by your care manager,www.Kent.gov.uk,Public & Social Services,
Horizons Day Opportunities Service,Horizons,S.E. England,"c/o The Mulberry Centre,Emily Jackson Close,Eardley Road",Sevenoaks,TN13 1XH,01732 467654,,Nicki,Clare,"Horizons Day Opportunites provides services for adults with a learning disability and is based in the community of Sevenoaks.  The aim of the service is to agree with each person, an individual programme of activites that utilise their strengths and develop skills to achieve their full potential reflecting aspirations and wants.  Horizons offers a wide range of opportunities which has evolved to providing a service which actively listens to what people want and need.  We are commited to empowering people to articulate and express their views.  Our speaking and listening group enables people to speak up and make decisions and play an active part in the planning of services Horizons strives to provide.  We work in close partnership with parents, carers and care management ensuring that agreed actions are regularly reviewed and monitored and with other professionals and agencies to utilise expertise to meet individual needs.  Within our service we work with clients that have alternative needs such as challenging behaviour and strive to promote a services that not only improves upon behaviour but also develops opportunities for these individuals.",adult,Dependant on circumstances,www.kent.gov.uk,Day Centre,
Evolve,Evolve,S.E. England,"Edenbridge Centre,Four Elms Road",Edenbridge,TN8 6AD,01732 863859,,Nicki,Clare,"Evolve is a new service that was established in January 2005.  This service is based in Edenbridge to allow clients of Edenbridge to access a localised service within their own community.  Evolve encourages community participation and integration for all of our clients.  We have built up links with the Edenbridge centre, establishing links here with Adult education and The Volunteer Service, The Leisure Centre, The Local schools and small businesses in and around Edenbridge.  At Evolve we strive to promote independence for all clients and work closely with Parents/Carers and clients to make this aim sucessful.  Within our service we work with clients that have alternative needs such as challenging behaviour and strive to promote a service that not only improves upon behaviour but also develops opportunities for these individuals.",all,Dependent on circumstances,www.kent.gov.uk,Day Centre,
"Your Key to Independence, your own door key to your own place, at KeyRing",KeyRing living support networks,All of UK,"Impact Centre,12-18 Hoxton Street,London N1 6NG",London,N1 6NG,020 7749 9411,enquiries@keyring.org,Mike,Wright,KeyRing’s principal activity is that of enabling people said to have learning difficulties 'exercise choice in and take responsibility for their own homes'. KeyRing supports people in a unique independent living arrangement called ‘Living Support Networks’. Each network has approximately nine people living in their own ordinary flats. KeyRing supports people in managing their home and ensures that they pay their bills and meet the requirements of their tenancies. KeyRing works hard to build links with the local community and believes that these Community Connections are an important part of independent living. Along with mutual support within.,all,n/a,www.keyring.org,Charities,
Riverside Day Service,Riverside Day Service,S.E. England,2 Lyons Wharf,Tonbridge,TN9 1EX,01732 225125,,Andy,Thornett,"Riverside is a day service supporting adults with learning disabilites across the week.  The service is based in the centre of Tonbridge High Street and offers an ideal base from which service users can access the local comunity.  We have excellent links with local schools, colleges, leisure and employment opportunities and have several joint working projects at present, with more planned for the future.  We work closely with parent/carers and care management to ensure agreed actions are regularly reviewed and monitored with a view to meeting the individual needs of service users.  Riverside is in the process of extending their hours to support service users in the evening and weekends in order to provide a more flexible service.  Currently we are looking at a joint working project in the Malling area, in order to offer more localised services to people in this area.",adult,Dependent on individual circumstances,www.kent.gov.uk,Day Centre,
A direct payment service,GDSK,N.W. England,27 Clarence Road,Barrow-in-Furness,LA14 5LS,1229430505,mike.pedley@gdsk.co.uk,Mike,Pedley,A direct payment service that provides people with learning disabilities and special needs in cumbria to access activities in the community,all,£12.50/hr + activity costs,http://www.gdsk.co.uk,Support Service,
The Autistic Society Greater Manchester Area,The Autistic Society Greater Manchester Area,N.W. England,"1114 Chester Rd,Stretford,Greater Manchester,M32 0HL",Stretford,M32 0HL,0161 866 8483,admin@asgma.org.uk,The Information,Officer,"We are a local charity that works across Greater Manchester to support people affected by Autism, including Asperger Syndrome, directly and indirectly.  This includes parent and carer support services and support services including access to social and leisure activities to people with Asperger Syndrome over the age of 10.",all,none for basic provision of service,www.asgma.org.uk,Support Service,
US IN A BUS,US IN A BUS,S.E. England,"US IN A BUS,The Kingsfield Centre,Philanthropic Road,Redhill,Surrey RH1 4DP",Redhill,RH1 4DP,01737 281021,us@usinabus.freeserve.co.uk,Steve,Parker,"Us In A Bus is a mobile service, visiting people with profound learning disabilities and complex needs in their own home across Surrey, Hampshire and Berkshire. We have three teams of Interaction Practitioners, skilled in the field of Intensive Interaction, that specialise in working with people who can be difficult to reach. We use leisure and play as an opportunity for people to express their emotions and creativity to communicate and to have fun. We aim to support people to develop their self expression in order to have a greater influence on their own lives and the people around them. We also offer training in Intensive Interaction to enable support staff to build on the relationships they have with the people they support to communicate and to have fun. We aim to support people to develop their self expression in order to have a greater influence on their own lives and the people around them. We also offer training in Intensive Interaction to enable support staff to build on the relationships they have with the people they support.",adult,£13-£77 per hour. Varies with size of group,www.usinabus.org.uk,Other,Leisure/Training
"Project Art Works is an artist-led organisation, based in Hastings, East Sussex, that creates opportunities for young people and adults, who have complex needs, to communicate and express themselves through art.",Project Art Works,S.E. England,"Arch 3, Braybrooke Terrace",Hastings,TN34 1TD,01424 423555,info@projectartworks.org,Anthony,McIntosh,"Project Art Works believes that people, whatever their sensory, physical or cognitive ability, have strong and vital qualities which are a reflection of their individuality and existence. It is these qualities that we try to explore, enhance and make visible through art. The art created through our projects demonstrates the enabling power and impact of high quality and appropriate creative opportunities. Whilst being fully inclusive, our priority as an organisation is to try to facilitate and promote art of the highest quality.",all,None,www.projectartworks.org,Other,Arts and Disability
Shiny Learning - switch accessible software,Shiny Learning,All of UK,PO Box 141,Glossop,SK13 9AB,01457 778218,info@shinylearning.co.uk,Helen,Melhuish,"We sell educational, motivational, fun software designed to include children with special needs. As far as possible our software includes switch access, speech support and activities that can be edited or tailored to meet individual requirements. Distributor of the well-established LaraMera software in the UK.",all,,www.shinylearning.co.uk,Software Company,
Disability Consultancy Service (DCS),Disability consultancy service,N.W. England,"The Highcroft,Bebington day centre",Bebington,CH63 3IL,0151 644 9591,publicity@dcs.org.uk,Anthony,Davies,"The DCS (disability consultancy service) is a social enterprise that has been setup by people who use services  so that agencies such as Social Services and Health have easy access to a range of trained, independent, and knowledgeable people.

We pay a minimum of £20 per week, so you can still receive benefits whilst you receive training in basic office skills and other project work.",all,,www.dcs.org.uk,Employment Services,
Coventry Training Consortium,Coventry Training Consortium,All of UK,505 Walsgrave Road,Coventry,CV2 4AG,02476 454514,helenafletcher@coventrytraining.org.uk,Helena,Fletcher,"Coventry Training Consortium (CTC) provides mandatory and learning disability training. We deliver moving & handling, food hygiene, health & safety, autism, challenging behaviour, dementia, person centred planning and much much  more. Many of our courses lead to accredited qualifications and we can write courses specifically for your organisation if required.",all,"Costs vary according to the subject, duration etc",www.coventrytraining.org.uk,Training,
Minstead Training Project,Minstead Training Project,S.W. England,"Minstead Training Project,Minstead Lodge,Minstead",Lyndhurst,SO43 7FU,023 8081 2297,info@minsteadtp.org,Lucio,De Feo,"residential accommodation for people who have learning disabilities, geared towards training to enable greater independence and move on to as independent a living situation as possible. Includes care of house and home, self care, cooking, shopping, publid transport, road safety.",adult,yes,www.minsteadtrainingproject.org,Other,Residential Accommodation offering training in independent living skills
"Psychological assessment,Training & Consultancy",Peak Experience,All of UK,"PO Box 158, Felixstowe, Suffolk IP11 0WQ",Ipswich,IP11 0WQ,01394 275593,peakexperience@fsmail.net,Mike,Watkin,"Training and Consultancy in autistic spectrum conditions, Asperger's syndrome, anger management, bullying and other developmental dissorders. Assessments by a Chartered Child Psychologist and Expert Witness work undertaken.",all,Fees depending on service.,www.peakexperience.org.uk,Other,Psychological assessment and Training in Autism
Independent brokerage,Step by Step Living Network,N.W. England,"G9, Globe Centre, Globe Business Park,Rochdale.  OL16 5EB",Rochdale,OL16 5EB,01706 837749,believe@livingnetwork.org.uk,Dave,Fidler,"Independent brokerage - works with people, their families and local commissioners
to support people to plan and get the lives they want.",all,Yes - to health and social care budgets,www.livingnetwork.org.uk,Charities,Support - self direction
Advocacy and advice,Hartlepool Mind,N.E. England,"Hartlepool Mind,Crown Buildings,Tees Street,Hartlepool",Hartlepool,TS24 8HB,01429 269303,jillmaehle@hartlepoolmind.co.uk,Jill,Maehle,Mental health and learning disabilities advocacy and advice,all,No,www.hartlepoolmind.co.uk,Advocacy,
Twinkle House Multi-sensory Studio,Twinkle House,N.W. England,"126 Sandy Lane Centre,Skelmersdale,Lancashire,WN8 8LH",Skelmersdale,WN88LH,01695 455626,enquires@twinklehouse.co.uk,Jill,Appleton,"Practical support for children and adults with physical or learning disability, or emotional and behaviour difficulties using sensory studio.  Service users can benefit from relaxation sessions or have support in stimulating the senses using specialist equipment whilst having fun in an environmnet that they can control.",all,free up to 18 years,www.twinklehouse.co.uk,Charities,voluntary
St Johns School for the Deaf,St Johns School for the Deaf,All of UK,"Church Street,Boston Spa,Wetherby,,West Yorkshire",Wetherby,LS23 6DF,01937 842144,info@stjohns.org.uk,Ann,Bradbury,"St John’s school for the deaf is a day and boarding school for hearing impaired pupils nationwide aged 3 to 19, located in Wetherby, UK.",children,,http://www.stjohns.org.uk,School / College,
Equality and Diversity Specialist,Fraser Consulting,Scotland,"Rosebank Cottage, 9 Campsie Road, Torrance.",Glasgow,G64 4BW,7884110686,clare.fraser@fraserconsulting.co.uk,Clare,Fraser,"Clare Fraser advises the public sector on accessibility, making adjustments for people with a disability, promoting equality and preventing harassment and discrimination. She delivers disability and equality training, including training on independent living, and making adjustments for people with a disability.",all,Yes,www.fraserconsulting.co.uk,Education,
THERAPEUTIC ART,My-cubes,S.W. England,"PO Box 7048,Verwood,Dorset","Poole, Bournemouth and surrounding areas",BH31 9BJ,0844 544 8982,,Sam,Townsend,"On Mondays we offer a supported environment for people to do art. In the past people have made cards, painted, have done glass painting, have made their own srap book, have done quilling,and much more exciting things.",adult,£35 per day + £5 for travel if needed,,Day Centre,
Lipreading Classes & Communication Awareness Training,Communication for All,N.W. England,"21 Kirk Road,,Church, Accrington",Church,BB5 4JN,01254 301997,amjackson2004@yahoo.co.uk,Angela,Jackson,"We provide lipreading classes for any adult aged 16-100+ with a hearing loss of any degree and support for their families.
Tinnitus Support Groups for people with Tinnitus whether hearing or hearing impaired.
Hard of Hearing Clubs and
Communication Awareness Training (not Deaf Awareness) for service providers - a one day course consisting of practical & theory work - certificate issued at end of course.This course also enables service providers to comply with the 2004 changes to the Disability Discrimination Act.
All services cover Hyndburn & Ribble Valley areas.",all,Lipreading Classes & Tinnitus Gps are FREE. Hard of Hearing Clubs £2 per year membership fee.  Communication Awareness Training £20 pp,,Visual & Hearing Impairment,
Housing and Support,Housing and Support Solutions Ltd,N.E. England,"Housing & Support Solutions Ltd,,Head Office,,427 Grimsby Rd",Cleethorpes,DN35 7LB,1427690807,info@hassltd.com,David,Whittock,"We provide supported housing for adults with learning difficulties and any associated problems they may have. We have a variety of accommodation available from shared housing to independent flats.  We accept funding streams from private individuals, local authorities / and direct payments schemes. We have a registered Social Worker and LD qualified nurse who assist in the running of the project. We have provision in central Lincolnshire and on the East Coast of Lincolnshire",adult,"Yes, various funding options available",www.housingandsupportsolutions.co.uk,Supported Living,Direct Payments
Supported Employment Agency,Bexley Twofold,All of UK,"Room 134,Bexley Civic Offices,Broadway",Bexleyheath,DA6 7LB,0208 298 0703,bexley.two-fold.@virgin.net,Roger,Millgate,Supported Employment Agency for adults with learning disabilities whose names are on the Bexley Borough Learning Disability Register.,all,,,Accessibility Services,
Training Courses for Learning Disability Staff,Learning Disability Training,All of UK,"'Berrylands',Spillmans Pitch,Stroud,Glos,GL5 3LZ",Stroud,GL5 3LZ,08451 564253 + 07933 724256,learningdisabilitytraining@fsmail.net,Rose,Harwood,"Practical, clear & relevant training courses for staff who support children and adults with learning disabilities. These include Learning Disability Awareness; Epilepsy Awareness; Risk Assessment & Management; Abuse; Anti-Oppressive Practice & Empowerment; Person Centred Approaches; Loss & Bereavement; Sexuality & Relationships; Older People; Dementia; Palliative Care; Health Issues; Challenging Behaviour. Training mapped to LDQ / NVQ. I have over 25 years' experience in Learning Disability Services in Health & Social Services settings & am qualified in Social Work & Teaching in Higher Education. My training style is open & participative, &  empowerment & person centred working are emphasised throughout.",all,Variable. Discounts available,http:www.learningdisabilitytraining.org.uk,Training,
Mencap's accessibility unit,Mencap,All of UK,"Mencap,123 Golden Lane,London,EC1Y ORT",London,EC1Y 0RT,0207 696 5551,accessibility@mencap.org.uk,Estelle,Bloom,"We can make written information easy to understand, check information to see how easy it is to use, run training in communication, facilitate conferences, help organisations plan for the future using Past Present and Future, offer advice and learning disability consultancy, draw pictures and make big colourful picture walls to record what happened at a conference or event.  Most of our team are people with a learning disability.",all,"yes, it depends on what you want us to do",www.mencap.org.uk,Accessibility Services,
School for children with Learning Difficulties,Swiss Cottage School,London,Avenue Road,London,NW8 6HX,2076818080,admin@swisscottage.camden.sch.uk,Lindsay,Walne,"Swiss Cottage School is a Camden Local Education Authority Special School for 143 children aged 2 - 16 years with complex needs, primarily learning, speech & communication and physical. More details and Admissions Criteria on our website.",all,No,www.swisscottage.camden.sch.uk,Education,
UBU,UBU (Northern Life Care),N.W. England,"UBU North West Regional Office,16 Winckley Square",Preston,PR1 3JJ,01772 200696,enquiries@nlccs.co.uk,Regional,Co-ordinator,"We provide accommodation and support for adults with learning disabilities and children with autism, emotional & behavioural problems and learning disabilities.

Our safe, consistent, progressive, person centred support for adults and children/ young people enables them to make changes that will help them transform their lives.",all,,www.ubu.me.uk,Supported Living,Residential Care and Direct Payments Support
UBU,UBU (Northern Life Care),Midlands,"UBU East Midlands Regional Office,The Flaxmill,Flaxmill Lane,Pinchbeck",Spalding,PE11 3XQ,01775 710610,enquiries@nlccs.co.uk,Lorraine,Grantham,"We provide accommodation and support for adults with learning disabilities and children with autism, emotional & behavioural problems and learning disabilities.

Our safe, consistent, progressive, person centred support for adults and children/ young people enables them to make changes that will help them transform their lives.",all,,www.ubu.me.uk,Supported Living,Residential Care and Direct Payment Supports
FAIR Advice,FAIR (Family Advice and Information Resource),Scotland,"95 Causewayside,Edinburgh",Edinburgh,EH9 1DQ,0131 662 1962,fair@fairadvice.org.uk,Gill,Reid,"Advice and information for people with learning disabilities, their carers and professionals in the Edinburgh area including benefits advice.",all,free,http://www.fairadvice.org.uk,Accessibility Services,Advice and Information
Open Country,Open Country,N.E. England,"Community House,46 East Parade",Harrogate,HG1 5LT,01423 507227,info@opencountry.org.uk,David,Shaftoe,"We provide access to the countryside for adults with a disability and their carers. We do this in three ways. Firstly we run activities which our members can take part in including cycling, walking, wildlife watching, conservation tasks, outings and adventure sports. Secondly we publish information about where in the local countryside is accessible to everyone. We have two Breakfree packs for Harrogate District and four Directories of Countryside Opportunities covering all of Yorkshire. Lastly we provide free access advice to anyone hoping to make their paths and greenspace more accessible to people of all abilities.",adult,£5 membership / year,www.opencountry.org.uk,Accessibility Services,
Active London Project,Sutton Mencap,London,"8 Stanley Park Road,Wallington",Sutton,SM6 0EU,020 8647 8600,tracey@suttonmencap.org.uk,Tracey,Hickey,"The aim of this project is to improve the health, well being and social inclusion of adults with a learning disability through sport and physical activity in the community. We run some specialist activities and also work with local clubs to increase the number of inclusive opportunities available in the community.",adult,Session costs are approx £2 per person.,,Sports & Leisure,
Interactive Play for Children with Autism,autism-smile,All of UK,"50 Cambrai Avenue,Chichester,West Sussex,PO19 7UY",Chichester,PO19 7UY,+44(0)1243 531925,info@autism-smile.co.uk,Diana,Seach,"Interactive Play for Children with Autism provides comprehensive training and consultancy for professionals and families to promote the educational and therapeutic benefits of play for children with autism and Asperger's syndrome. The smile programme provides home-based supportive strategies that focus on creating playful interaction to help build relationships, develop communication and support children's emotional well-being. It also provides professional training and works with individuals in schools and care settings. Using an interactive play approach enhances children's social communication; it fosters creativity and helps to bring about more flexible and enjoyable ways to learn.",all,yes,www.autism-smile.co.uk,Education,Family Service
educational psychologist assessments,psych-online.co.uk,S.W. England,"12 The Albany, Manor Road",Bournemouth,BH13EN,1202556323,dennisroberts@psych-online.co.uk,Dennis,Roberts,"We provide EDUCATIONAL PSYCHOLOGIST ASSESSMENTS and advice for adults and children. We specialize in assessments of cognitive skills and abilities, academic achievement and attainment, and learning difficulties/disabilities: e.g. including reports required when applying for a Disabled Student Allowance; assessments to support applications for access arrangements for examinations; for Specific Learning Difficulties, dyslexia, dyscalculia; to identify learning difficulties and make recommendations for meeting learning or training needs in the workplace, and assessments for employment tribunals. Training Sessions are also provided for individuals and groups,e.g.in breathing, relaxation and stress management.",all,"yes, see website",www.psych-online.co.uk,Psychology,
Chailey Heritage School,Chailey Heritage School,S.E. England,"Chailey Heritage School,Haywards Heath Road,North Chailey",Lewes,BN8 4EF,01825 724444,schooloffice@chs.org.uk,Helen,Willis,"Chailey Heritage School is a charitable special school for young people, aged between 3 and 19, with physical disabilities, complex medical needs and a very wide range of associated learning difficulties. All our young people have access to a very high level of clinical and therapeutic input from our NHS colleagues on site. All our teachers and hands-on staff are highly trained to work with young people with complex needs.

We have six residential bungalows; some of our pupils stay for occasional respite, some are weekly or fortnightly boarders and we hope to be able to provide 52 weeks care very soon. We have young people from around 20 different local authorities",all,Fees generally paid by LEA,www.chs.org.uk,School / College,
Alternative Leisure Service,Alternative Leisure Service,N.W. England,Keswick Road,Lancaster,LA13LF,7402028428,info@alternative-leisure.com,Kurt,Clegg,"The Alternative Leisure Service offers personal assistance to individuals and respite support to carers in the Lancashire area.

Alternative Leisure Service can help carers to have some time away from their caring responsibilities and start to enjoy some free time.

Alternative Leisure has been designed to meet the needs of individuals who are looking for a low cost quality professional and reliable service.",all,£12 per hour,www.alternative-leisure.com,Support Service,
Short Breaks and Respite,Gwesty Seren Hotel,All of UK,"Gwesty Seren Hotel,Llan Ffestiniog",Blaenau Ffestiniog,LL41 4NS,01766 832378,sioned@serencyf.org,Sioned,Parry,We are a fantastic holiday destination in the heart of North Wales - a 10 bedroom hotel specially for people with learning disabilities to come and holiday with family and / or carers. We can also offer respite for anyone who is 18+. We have fantastic facilities and can offer adventure and relaxation packages to name a few.,all,Yes,www.gwestyseren.co.uk,Tourism,
Interactive Learning Technology,Sensory Guru,All of UK,"The Byre,Hodore Farm,Parrock Lane",Hartfield,TN7 4AR,1892771381,info@sensoryguru.co.uk,Lee,Blemings,"Sensory Guru specialises in the development of interactive learning technologies, multi-sensory environments and inclusive music making technologies. They have just developed a range of new gesture controlled music systems suitable for people of all ages and abilities. Sensory Guru is at the leading edge of sensory learning technology; check out their website for more info.",all,yes,www.sensoryguru.co.uk,Education,
HELP TO LEARN at RAVIVWORKS EDINBURGH & BORDERS,RAVIVWORKS,Scotland,Academy Park,Edinburgh,EH6 8JQ,+44(0)7512311317,jane.wexo@virgin.net,Jane,Oliver,"RAVIVWORKS provides children and adults with a multi-sensory, neuro-cognitive based approach to LEARN. Students with ADD, ADHD, APD, DYSLEXIA, DYSCALCULIA, DYSPRAXIA, and AUTISM SPECTRUM DISORDERS find the programme self challenging, energising and more importantly FUN. Ravivworks is an Edinburgh and Borders based company specialising in the Raviv method and other brain and brain-body integration programmes.",all,Yes,www.ravivworks.co.uk,Education,
"Local Area Co-ordination, Glenrothes, Fife","Local Area Co-ordination, Fife Council",Scotland,"Fife Council,Q10 Flemington Road,Queensway Industrial Estate,Glenrothes,Fife,KY7 5QF",Glenrothes,KY7 5QF,08451 55 55 55 + 44 48 28,sylvia.thomson@fife.gov.uk,Sylvia Thomson or,Gerry Goldie,"There are 2 Local Area Co-ordinators in Fife covering Glenrothes, Markinch, Star of Markinch, Leslie, Coaltown of Balgonie, Milton of Balgonie, Kinglassie and Thornton.  We support children and adults (from birth to age 60 at time of contact) who have physical or learning disabilities, sensory impairments, autism spectrum disorders or attention deficit disorders and who live in these areas.  

We enable individuals and families to access relevant information, to make choices and informed decisions about issues affecting their life, to access the local community and relevant services, to be in control and to plan for their future.  We offer a flexible, family-centred service and arrange to meet individuals and/or their families at a time and place that suits them.",all,No Cost,www.fifeadultdayservices.org.uk,Other,Supported Living
Kemble House,Kemble House,All of UK,"Friern Barnet, North London",Friern Barnet,N11 3DD,01707 646 646,info@brookdalecare.co.uk,Wendy,Wyhte,Kemble House is a residential care home for adults with High Functioning Autism and Asperger syndrome. Every resident within Brookdale Care receives therapeutic support from our Clinical and Therapeutic Team who devise a personalised care and treatment plan. Residents are supported to develop independent living and social skills to enable them to progress on to supported living.,adult,All placements are funded by Local Authorities and PCTs,www.brookdalecare.co.uk,Other,Residential Care Home
Be Heard,Be Heard self and peer advocacy group for learning disabled adults,S.W. England,"4/5 Town Square,Bracknell,RG12 1AU",Bracknell,RG12 1AU,(+44) 01344 485509,beheard.cafe@gmail.com,Leda,Smith Sommerville,"Be Heard is a member-led group of learning disabled adults that promotes self-advocacy and peer advocacy to enrich the lives of its members.  With an active membership of over fifty,  Be Heard changes lives for the better, as well as raising awareness about learning disabilities throughout the local community.",adult,0,http://be-heard.co.uk/,Advocacy,
Event Management / Easy Read,IC Jason Rhodes,N.W. England,"I C Jason Rhodes, Suite 5, TMC Building, The Globe Centre,",Accrington,BB5 0RE,01254 306850,icjasonrhodes@hotmail.co.uk,Jason,Rhodes,"IC Jason Rhodes is a pro-acive company who organise events around issues that affect people with disabilities.  This includes Conference Organising, Event Management, Easy Read Translation, Easy Read Training, Event DVD/Newsletter Production, Event Compare and Office Administration.",all,Cost Variable on Event,http://www.icjasonrhodes.com,Advocacy,
Independent Trainer,Jane Fryer,S.E. England,"29 Park Lane,,Hazlemere,,Bucks,HP15 7HZ",High Wycombe,HP15 7HZ,07703 510830,janefryer@btinternet.com,Jane,Fryer,"Training for all adult care services: Dementia, POVA, Manual Handling, Diversity, Key Working, Care Planning, Person Centred Planning and Learning Disability. Delivered In-House if preferred.
Trainer's nursing and training qualification available on request.All courses mapped to the common induction standards and NVQs.
Training available within a 50 mile radius of Amersham, Bucks.",adult,Prices on request,,Training,Care Services
DDA Access Audits,Access All Areas,All of UK,"6 Paddock Close,Dovercourt,Essex,London",Harwich,CO12 3QP,01255 242777,accessauditing@aol.com,Robin,Kettle,Access All Areas - Disability Discrimination Act (DDA) access audits. Meeting the needs of disabled people in the UK by assisting businesses large and small to meet the access needs of all disabled people.,all,Varied,http://www.access-auditing.com,Accessibility Services,
Blue Badge Disability Equality Training,Blue Badge Training,All of UK,"274 High Street,Dovercourt,Harwich,Essex,London",Harwich,co12 3pd,01255 242991,bluebadgeuk@aol.com,Keith,Taylor,Specialising with larger businesses and service providers.  Blue Badge disability awareness and equality training is powerful and cost efficient.,adult,from £29 per person,www.blue-badge.co.uk,Training,Disability awareness
Newick House School,Newick House School,S.E. England,"Birchwood Grove Road,Burgess Hill,West Sussex,RH15 0DP",Burgess Hill,RH15 0DP,01444 233550,office@newickhouse.w-sussex.sch.uk,Gill,Perry,"Newick House School is a community special school for children and young people aged 4-16. The pupils have a range of special needs including learning difficulties, autistic spectrum disorder and speech and language difficulties. Many students have complex needs and may  have physical, sensory or behavioural needs in addition to any learning difficulties.",children,No,http://www.newickhouse.w-sussex.sch.uk,School / College,
PAACS,Powys Autism & Aspergers Carers Support,Wales,"Rainbows End,Parc Caradog,Trewern,Welshpool,Powys,SY21 8DS",Powys,SY21 8DS,07835 451790,paacs@hotmail.co.uk,John,Moore,"Powys Autism & Aspergers Carers Support is an organisation made up of parents/carers of those on the Autistic Spectrum in Powys, Mid Wales.
The main objective of the group is to provide support, information and advice to those parents/carers.  Also, PAACS regularly hosts workshops, seminars and training events.  These events are of great benefit to not only parents/carers but also professionals working in the field of autism.",all,No,,Parents' Support Services,
Advocacy Project for People with Learning Disability in Wakefield,Your Voice Wakefield Advocacy Project,N.E. England,25 King Street,Wakefield,WF12SR,1924305763,roberta.roccella@mencap.org.uk,Roberta,Roccella,"Your Voice Wakefield Advocacy project provides different types of support to adults with learning disabilities living in the Wakefield area. This includes advocacy, supporting service users representatives at Partnership Board meetings and one to one support for crisis situations such as housing, benefits, employment, sexuality,social care, relationship, education etc...

The work is undertaken by professional trained advocates and tailored around the service users' needs. Volunteering opportunities are available and full training is provided.

The project also supports a Citizen Advocacy Scheme where volunteers provide advocacy support predominantly on a long term basis, but also on crisis situations according to the volunteer's availability.

Finally the project is setting up a Self-Advocacy Forum which will cover the whole district and will give to people the opportunity to speak up for themselves with the support of their fellow peers.",adult,absolutely free,,Advocacy,
The Rainbow Group,Bristol Charities,S.W. England,"Proctor House,Somerset Square,Redcliffe,Bristol,BS1 6RS",Bristol,BS1 6RS,07970 375783,nickyowen@bristolcharities.org.uk,Nicky,Owen,Play group for pre-school age children with disability or delayed development.  Support for parents from staff and other parents who are in a similar situation.  (Please note we celebrate all children's achievements with cake!!),all,Voluntary £1/week,www.bristolcharities.org.uk,Support Service,
Irlen Syndrome Diagnosis and treatment,Irlen East,S.E. England,"4 Park Farm Business Centre, Fornham St Genevieve",Bury St Edmunds,IP28 6TS,01284 724301,info@irleneast.com,Tina,Yates,"Provide assessment, advice and support for sufferers of visual perceptual disorders and associated learning difficulties. These can include dyslexia, dyspraxia, ASD, attention disorders, migraines and stress. Assessment can be carried out in schools, at the workplace, in the home as well as at our clinic",all,yes,www.irleneast.com,Education,
DSA Supplier,iansyst Technology Services Scotland,Scotland,"ITS Scotland,2nd Floor,,The Beacon,,176 Saint Vincent Street,Glasgow",Glasgow,G2 5SG,0141 249 6514,scotland@itspc.co.uk,Geoff,Best,"Iansyst Technology Services Scotland supplies complete computer systems, desktop or notebook, Windows PC or Apple Mac, with the relevant software pre-loaded and configured. As a Disabled Students Allowance and Access to Work (DSAAtW)approved supplier, we are attuned to the needs of students and other clients with dyslexia. We offer extended warranties and all-risk insurance to cover equipment for the duration of the student's course and provide support for the same period.",adult,Not to students,http://www.itspc.co.uk/scotland/,Computers & The Internet,Dyslexia
WEBCAS,WEBCAS,S.E. England,"30 Rose Street,Wokingham,Berkshire,RG40 1XU",Wokingham,RG40 1XU,1189792031,adv@webcaswokingham.co.uk,Sally,Grant,"West Berkshire Citizen Advocacy (WEBCAS) is a charity with offices in Wokingham and Newbury. It promotes independent advocacy services for adults with learning disabilities within the unitary authority areas of West Berkshire, Reading Borough and Wokingham District.",adult,,www.webcas.org.uk,Advocacy,
WEBCAS,WEBCAS,S.E. England,"WEBCAS,The Slater Centre,Buer-Croke Way,New Greenham Park,Thatcham,Berkshire,RG19 6HN",Newbury,RG19 6HN,1635500863,patrick@webcas.org.uk,Patrick,Slater,"West Berkshire Citizen Advocacy (WEBCAS) is a charity with offices in Wokingham and Newbury. It promotes independent advocacy services for adults with learning disabilities within the unitary areas of West Berkshire, Reading Borough and Wokingham District.",adult,,www.webcas.org.uk,Advocacy,
